CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Cayenne:lat=4.920000076,lon=-52.40000153
Chittagong:lat=22.47999954,lon=91.83279419
Colombo:lat=7.019999981,lon=80.08833313
Conakry:lat=9.520000458,lon=-12.80000019
Dakar:lat=14.63000011,lon=-16.84809494
Denver:lat=39.75,lon=-105.0699997
Dushanfe:lat=38.63000107,lon=68.90000153
Edmonton:lat=53.56999969,lon=-113.2699966
El-Giza:lat=30.46999931,lon=30.85000038
Freetown:lat=8.382770538,lon=-12.91027641
Frunze:lat=42.88000107,lon=74.76999664
Genova:lat=44.45508957,lon=8.92229557
Georgetown:lat=6.769999981,lon=-58.16999817
Goteborg:lat=57.75,lon=12
Harare:lat=-17.82999992,lon=31.02000046
Havana:lat=23.0489521,lon=-82.4164505
Jiddah:lat=21.62000084,lon=39.37330627
Kampala:lat=0.319999993,lon=32.58000183
Kano:lat=11.92000008,lon=8.520000458
Kao-Hsiung:lat=22.67341614,lon=120.3414841
Karachi:lat=24.85000038,lon=67.02999878
Khabarovsk:lat=48.52999878,lon=135.0700073
Khartoum:lat=15.55000019,lon=32.52999878
Kishinev:lat=47,lon=28.82999992
Kobenhavn:lat=55.72000122,lon=12.55000019
Lagos:lat=6.449999809,lon=3.299999952
Le Havre:lat=49.32402039,lon=0.219999999
Libreville:lat=-0.504144549,lon=9.490456581
Lilongwe:lat=-13.92000008,lon=33.81999969
Lima:lat=-12.06799603,lon=-76.82355499
Lisboa:lat=38.72999954,lon=-9.130000114
Liverpool:lat=53.42268753,lon=-2.766836405
Lome:lat=6.28000021,lon=1.350000024
Los Angeles:lat=34,lon=-118.25
Luanda:lat=-9,lon=13.46177864
Lumumbashi:lat=-11.68000031,lon=27.54999924
Lusaka:lat=-15.43000031,lon=28.17000008
Malabo:lat=3.644684792,lon=8.819999695
Manila:lat=14.55000019,lon=121.1734085
Marseille:lat=43.29999924,lon=5.380000114
Masqat:lat=23.51663971,lon=58.62747955
Mazatlan:lat=23.36151123,lon=-106.2699966
Mombasa:lat=-4.019999981,lon=39.66999817
Monrovia:lat=6.517439365,lon=-10.77000046
Montevideo:lat=-34.91999817,lon=-56.16999817
Moskva:lat=55.75,lon=37.70000076
Nairobi:lat=-1.169999957,lon=36.83000183
Napoli:lat=40.83000183,lon=14.27000046
New York:lat=40.75,lon=-74.09999847
Newark:lat=40.72000122,lon=-74.19999695
Nouakchott:lat=18.03000069,lon=-15.78286076
Odense:lat=55.57453537,lon=9.902998924
Omdurman:lat=15.61999989,lon=32.47999954
Oran:lat=35.75,lon=-0.519999981
Oslo:lat=59.93000031,lon=10.72000027
Ouagadouou:lat=12.47999954,lon=-1.669999957
Palermo:lat=38.13000107,lon=13.39999962
Panama:lat=8.949999809,lon=-79.40000153
Paramaribo:lat=5.929999828,lon=-55.22999954
Perth:lat=-31.97586441,lon=115.9233704
Port Moresby:lat=-9.550000191,lon=147.4145203
Porto:lat=41.15000153,lon=-8.487948418
Qandahar:lat=31.60000038,lon=65.5
Quezon City:lat=14.64999962,lon=121.0299988
Rabat:lat=33.92019653,lon=-6.748040676
Reykjavik:lat=64.31326294,lon=-21.3368206
Riga:lat=56.88000107,lon=24.04999924
